2024-08-18 08:46:40 status half-configured libc-bin:amd64 2.31-13+deb11u10
2024-08-18 08:46:40 status installed libc-bin:amd64 2.31-13+deb11u10
2024-08-18 08:47:11 startup archives unpack
2024-08-18 08:47:11 install net-tools:amd64 <none> 1.60+git20181103.0eebece-1
2024-08-18 08:47:11 status half-installed net-tools:amd64 1.60+git20181103.0eebece-1
2024-08-18 08:47:11 status unpacked net-tools:amd64 1.60+git20181103.0eebece-1
2024-08-18 08:47:12 startup packages configure
2024-08-18 08:47:12 configure net-tools:amd64 1.60+git20181103.0eebece-1 <none>
2024-08-18 08:47:12 status unpacked net-tools:amd64 1.60+git20181103.0eebece-1
2024-08-18 08:47:12 status half-configured net-tools:amd64 1.60+git20181103.0eebece-1
2024-08-18 08:47:12 status installed net-tools:amd64 1.60+git20181103.0eebece-1
2024-08-18 08:47:45 startup archives unpack
2024-08-18 08:47:45 install libcap2:amd64 <none> 1:2.44-1
2024-08-18 08:47:45 status triggers-pending libc-bin:amd64 2.31-13+deb11u10
2024-08-18 08:47:45 status half-installed libcap2:amd64 1:2.44-1
2024-08-18 08:47:45 status unpacked libcap2:amd64 1:2.44-1
2024-08-18 08:47:45 install libcap2-bin:amd64 <none> 1:2.44-1
2024-08-18 08:47:45 status half-installed libcap2-bin:amd64 1:2.44-1
2024-08-18 08:47:45 status unpacked libcap2-bin:amd64 1:2.44-1
2024-08-18 08:47:45 install iputils-ping:amd64 <none> 3:20210202-1
2024-08-18 08:47:45 status half-installed iputils-ping:amd64 3:20210202-1
2024-08-18 08:47:45 status unpacked iputils-ping:amd64 3:20210202-1
2024-08-18 08:47:45 install libpam-cap:amd64 <none> 1:2.44-1
2024-08-18 08:47:45 status half-installed libpam-cap:amd64 1:2.44-1
2024-08-18 08:47:45 status unpacked libpam-cap:amd64 1:2.44-1
2024-08-18 08:47:45 startup packages configure
2024-08-18 08:47:45 configure libcap2:amd64 1:2.44-1 <none>
2024-08-18 08:47:45 status unpacked libcap2:amd64 1:2.44-1
2024-08-18 08:47:45 status half-configured libcap2:amd64 1:2.44-1
2024-08-18 08:47:45 status installed libcap2:amd64 1:2.44-1
2024-08-18 08:47:45 configure libcap2-bin:amd64 1:2.44-1 <none>
2024-08-18 08:47:45 status unpacked libcap2-bin:amd64 1:2.44-1
2024-08-18 08:47:45 status half-configured libcap2-bin:amd64 1:2.44-1
2024-08-18 08:47:45 status installed libcap2-bin:amd64 1:2.44-1
2024-08-18 08:47:45 configure libpam-cap:amd64 1:2.44-1 <none>
2024-08-18 08:47:45 status unpacked libpam-cap:amd64 1:2.44-1
2024-08-18 08:47:45 status half-configured libpam-cap:amd64 1:2.44-1
2024-08-18 08:47:45 status installed libpam-cap:amd64 1:2.44-1
2024-08-18 08:47:45 configure iputils-ping:amd64 3:20210202-1 <none>
2024-08-18 08:47:45 status unpacked iputils-ping:amd64 3:20210202-1
2024-08-18 08:47:45 status half-configured iputils-ping:amd64 3:20210202-1
2024-08-18 08:47:45 status installed iputils-ping:amd64 3:20210202-1
2024-08-18 08:47:45 trigproc libc-bin:amd64 2.31-13+deb11u10 <none>
2024-08-18 08:47:45 status half-configured libc-bin:amd64 2.31-13+deb11u10
2024-08-18 08:47:45 status installed libc-bin:amd64 2.31-13+deb11u10
